Objects	t0	t1	t2	t3
O987	0.0	0.0	0.0	0.0
O988	1.01	0.71	-0.86	-0.86
O989	0.32	1.27	-0.72	-0.87
O99	0.85	0.62	-0.09	-1.38
O990	0.0	0.0	0.0	0.0
O991	0.0	0.0	0.0	0.0
O992	0.65	-1.48	0.29	0.54
O993	1.28	0.3	-0.81	-0.77
O994	-1.47	0.23	0.48	0.76
O995	1.5	-0.5	-0.5	-0.5
O996	0.0	0.0	0.0	0.0
O997	-0.5	-0.5	1.5	-0.5
O998	1.16	0.5	-0.73	-0.93
O999	0.0	0.0	0.0	0.0
